,game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,home_result,stadium,location,roof,surface,old_game_id
0,2013_01_BAL_DEN,2013,REG,1,2013-09-05,Thursday,20:30,BAL,DEN,27,49,22,Sports Authority Field at Mile High,Home,outdoors,grass,2013090500
1,2013_01_NE_BUF,2013,REG,1,2013-09-08,Sunday,13:00,NE,BUF,23,21,-2,Ralph Wilson Stadium,Home,outdoors,a_turf,2013090800
2,2013_01_SEA_CAR,2013,REG,1,2013-09-08,Sunday,13:00,SEA,CAR,12,7,-5,Bank of America Stadium,Home,outdoors,grass,2013090801
3,2013_01_CIN_CHI,2013,REG,1,2013-09-08,Sunday,13:00,CIN,CHI,21,24,3,Soldier Field,Home,outdoors,grass,2013090802
4,2013_01_MIA_CLE,2013,REG,1,2013-09-08,Sunday,13:00,MIA,CLE,23,10,-13,FirstEnergy Stadium,Home,outdoors,grass,2013090803
5,2013_01_MIN_DET,2013,REG,1,2013-09-08,Sunday,13:00,MIN,DET,24,34,10,Ford Field,Home,dome,fieldturf,2013090804
6,2013_01_OAK_IND,2013,REG,1,2013-09-08,Sunday,13:00,OAK,IND,17,21,4,Lucas Oil Stadium,Home,closed,fieldturf,2013090805
7,2013_01_KC_JAX,2013,REG,1,2013-09-08,Sunday,13:00,KC,JAX,28,2,-26,EverBank Field,Home,outdoors,grass,2013090806
8,2013_01_ATL_NO,2013,REG,1,2013-09-08,Sunday,13:00,ATL,NO,17,23,6,Mercedes-Benz Superdome,Home,dome,sportturf,2013090808
9,2013_01_TB_NYJ,2013,REG,1,2013-09-08,Sunday,13:00,TB,NYJ,17,18,1,MetLife Stadium,Home,outdoors,fieldturf,2013090807
10,2013_01_TEN_PIT,2013,REG,1,2013-09-08,Sunday,13:00,TEN,PIT,16,9,-7,Heinz Field,Home,outdoors,grass,2013090809
11,2013_01_GB_SF,2013,REG,1,2013-09-08,Sunday,16:25,GB,SF,28,34,6,Candlestick Park,Home,outdoors,grass,2013090811
12,2013_01_ARI_STL,2013,REG,1,2013-09-08,Sunday,16:25,ARI,STL,24,27,3,Edward Jones Dome,Home,dome,astroplay,2013090810
13,2013_01_NYG_DAL,2013,REG,1,2013-09-08,Sunday,20:30,NYG,DAL,31,36,5,AT&T Stadium,Home,closed,matrixturf,2013090812
14,2013_01_PHI_WAS,2013,REG,1,2013-09-09,Monday,19:00,PHI,WAS,33,27,-6,FedExField,Home,outdoors,grass,2013090900
15,2013_01_HOU_SD,2013,REG,1,2013-09-09,Monday,22:15,HOU,SD,31,28,-3,Qualcomm Stadium,Home,outdoors,grass,2013090901
16,2013_02_NYJ_NE,2013,REG,2,2013-09-12,Thursday,20:25,NYJ,NE,10,13,3,Gillette Stadium,Home,outdoors,fieldturf,2013091200
17,2013_02_STL_ATL,2013,REG,2,2013-09-15,Sunday,13:00,STL,ATL,24,31,7,Georgia Dome,Home,dome,fieldturf,2013091500
18,2013_02_CLE_BAL,2013,REG,2,2013-09-15,Sunday,13:00,CLE,BAL,6,14,8,M&T Bank Stadium,Home,outdoors,sportturf,2013091501
19,2013_02_CAR_BUF,2013,REG,2,2013-09-15,Sunday,13:00,CAR,BUF,23,24,1,Ralph Wilson Stadium,Home,outdoors,a_turf,2013091502
20,2013_02_MIN_CHI,2013,REG,2,2013-09-15,Sunday,13:00,MIN,CHI,30,31,1,Soldier Field,Home,outdoors,grass,2013091503
21,2013_02_WAS_GB,2013,REG,2,2013-09-15,Sunday,13:00,WAS,GB,20,38,18,Lambeau Field,Home,outdoors,grass,2013091504
22,2013_02_TEN_HOU,2013,REG,2,2013-09-15,Sunday,13:00,TEN,HOU,24,30,6,Reliant Stadium,Home,closed,grass,2013091505
23,2013_02_MIA_IND,2013,REG,2,2013-09-15,Sunday,13:00,MIA,IND,24,20,-4,Lucas Oil Stadium,Home,open,fieldturf,2013091506
24,2013_02_DAL_KC,2013,REG,2,2013-09-15,Sunday,13:00,DAL,KC,16,17,1,Arrowhead Stadium,Home,outdoors,grass,2013091507
25,2013_02_SD_PHI,2013,REG,2,2013-09-15,Sunday,13:00,SD,PHI,33,30,-3,Lincoln Financial Field,Home,outdoors,grass,2013091508
26,2013_02_DET_ARI,2013,REG,2,2013-09-15,Sunday,16:05,DET,ARI,21,25,4,University of Phoenix Stadium,Home,closed,grass,2013091509
27,2013_02_NO_TB,2013,REG,2,2013-09-15,Sunday,16:05,NO,TB,16,14,-2,Raymond James Stadium,Home,outdoors,grass,2013091510
28,2013_02_DEN_NYG,2013,REG,2,2013-09-15,Sunday,16:25,DEN,NYG,41,23,-18,MetLife Stadium,Home,outdoors,fieldturf,2013091511
29,2013_02_JAX_OAK,2013,REG,2,2013-09-15,Sunday,16:25,JAX,OAK,9,19,10,O.co Coliseum,Home,outdoors,grass,2013091512
30,2013_02_SF_SEA,2013,REG,2,2013-09-15,Sunday,20:30,SF,SEA,3,29,26,CenturyLink Field,Home,outdoors,fieldturf,2013091513
31,2013_02_PIT_CIN,2013,REG,2,2013-09-16,Monday,20:30,PIT,CIN,10,20,10,Paul Brown Stadium,Home,outdoors,fieldturf,2013091600
32,2013_03_KC_PHI,2013,REG,3,2013-09-19,Thursday,20:25,KC,PHI,26,16,-10,Lincoln Financial Field,Home,outdoors,grass,2013091900
33,2013_03_HOU_BAL,2013,REG,3,2013-09-22,Sunday,13:00,HOU,BAL,9,30,21,M&T Bank Stadium,Home,outdoors,sportturf,2013092200
34,2013_03_NYG_CAR,2013,REG,3,2013-09-22,Sunday,13:00,NYG,CAR,0,38,38,Bank of America Stadium,Home,outdoors,grass,2013092210
35,2013_03_GB_CIN,2013,REG,3,2013-09-22,Sunday,13:00,GB,CIN,30,34,4,Paul Brown Stadium,Home,outdoors,fieldturf,2013092201
36,2013_03_STL_DAL,2013,REG,3,2013-09-22,Sunday,13:00,STL,DAL,7,31,24,AT&T Stadium,Home,closed,matrixturf,2013092202
37,2013_03_CLE_MIN,2013,REG,3,2013-09-22,Sunday,13:00,CLE,MIN,31,27,-4,Mall of America Field,Home,dome,sportturf,2013092204
38,2013_03_TB_NE,2013,REG,3,2013-09-22,Sunday,13:00,TB,NE,3,23,20,Gillette Stadium,Home,outdoors,fieldturf,2013092206
39,2013_03_ARI_NO,2013,REG,3,2013-09-22,Sunday,13:00,ARI,NO,7,31,24,Mercedes-Benz Superdome,Home,dome,sportturf,2013092207
40,2013_03_SD_TEN,2013,REG,3,2013-09-22,Sunday,13:00,SD,TEN,17,20,3,LP Field,Home,outdoors,grass,2013092208
41,2013_03_DET_WAS,2013,REG,3,2013-09-22,Sunday,13:00,DET,WAS,27,20,-7,FedExField,Home,outdoors,grass,2013092209
42,2013_03_ATL_MIA,2013,REG,3,2013-09-22,Sunday,16:05,ATL,MIA,23,27,4,Sun Life Stadium,Home,outdoors,grass,2013092203
43,2013_03_BUF_NYJ,2013,REG,3,2013-09-22,Sunday,16:25,BUF,NYJ,20,27,7,MetLife Stadium,Home,outdoors,fieldturf,2013092205
44,2013_03_JAX_SEA,2013,REG,3,2013-09-22,Sunday,16:25,JAX,SEA,17,45,28,CenturyLink Field,Home,outdoors,fieldturf,2013092212
45,2013_03_IND_SF,2013,REG,3,2013-09-22,Sunday,16:25,IND,SF,27,7,-20,Candlestick Park,Home,outdoors,grass,2013092211
46,2013_03_CHI_PIT,2013,REG,3,2013-09-22,Sunday,20:30,CHI,PIT,40,23,-17,Heinz Field,Home,outdoors,grass,2013092213
47,2013_03_OAK_DEN,2013,REG,3,2013-09-23,Monday,20:30,OAK,DEN,21,37,16,Sports Authority Field at Mile High,Home,outdoors,grass,2013092300
48,2013_04_SF_STL,2013,REG,4,2013-09-26,Thursday,20:25,SF,STL,35,11,-24,Edward Jones Dome,Home,dome,astroplay,2013092600
49,2013_04_BAL_BUF,2013,REG,4,2013-09-29,Sunday,13:00,BAL,BUF,20,23,3,Ralph Wilson Stadium,Home,outdoors,a_turf,2013092900
50,2013_04_CIN_CLE,2013,REG,4,2013-09-29,Sunday,13:00,CIN,CLE,6,17,11,FirstEnergy Stadium,Home,outdoors,grass,2013092901
51,2013_04_CHI_DET,2013,REG,4,2013-09-29,Sunday,13:00,CHI,DET,32,40,8,Ford Field,Home,dome,fieldturf,2013092902
52,2013_04_SEA_HOU,2013,REG,4,2013-09-29,Sunday,13:00,SEA,HOU,23,20,-3,Reliant Stadium,Home,closed,grass,2013092903
53,2013_04_IND_JAX,2013,REG,4,2013-09-29,Sunday,13:00,IND,JAX,37,3,-34,EverBank Field,Home,outdoors,grass,2013092904
54,2013_04_NYG_KC,2013,REG,4,2013-09-29,Sunday,13:00,NYG,KC,7,31,24,Arrowhead Stadium,Home,outdoors,grass,2013092905
55,2013_04_PIT_MIN,2013,REG,4,2013-09-29,Sunday,13:00,PIT,MIN,27,34,7,Wembley Stadium,Neutral,outdoors,grass,2013092906
56,2013_04_ARI_TB,2013,REG,4,2013-09-29,Sunday,13:00,ARI,TB,13,10,-3,Raymond James Stadium,Home,outdoors,grass,2013092907
57,2013_04_NYJ_TEN,2013,REG,4,2013-09-29,Sunday,16:05,NYJ,TEN,13,38,25,LP Field,Home,outdoors,grass,2013092908
58,2013_04_PHI_DEN,2013,REG,4,2013-09-29,Sunday,16:25,PHI,DEN,20,52,32,Sports Authority Field at Mile High,Home,outdoors,grass,2013092909
59,2013_04_WAS_OAK,2013,REG,4,2013-09-29,Sunday,16:25,WAS,OAK,24,14,-10,O.co Coliseum,Home,outdoors,grass,2013092910
