,game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,home_result,stadium,location,roof,surface,old_game_id
0,2019_01_GB_CHI,2019,REG,1,2019-09-05,Thursday,20:20,GB,CHI,10,3,-7,Soldier Field,Home,outdoors,grass,2019090500
1,2019_01_LA_CAR,2019,REG,1,2019-09-08,Sunday,13:00,LA,CAR,30,27,-3,Bank of America Stadium,Home,outdoors,grass,2019090800
2,2019_01_TEN_CLE,2019,REG,1,2019-09-08,Sunday,13:00,TEN,CLE,43,13,-30,FirstEnergy Stadium,Home,outdoors,grass,2019090801
3,2019_01_KC_JAX,2019,REG,1,2019-09-08,Sunday,13:00,KC,JAX,40,26,-14,TIAA Bank Stadium,Home,outdoors,grass,2019090802
4,2019_01_BAL_MIA,2019,REG,1,2019-09-08,Sunday,13:00,BAL,MIA,59,10,-49,Hard Rock Stadium,Home,outdoors,grass,2019090803
5,2019_01_ATL_MIN,2019,REG,1,2019-09-08,Sunday,13:00,ATL,MIN,12,28,16,U.S. Bank Stadium,Home,dome,sportturf,2019090804
6,2019_01_BUF_NYJ,2019,REG,1,2019-09-08,Sunday,13:00,BUF,NYJ,17,16,-1,MetLife Stadium,Home,outdoors,fieldturf,2019090805
7,2019_01_WAS_PHI,2019,REG,1,2019-09-08,Sunday,13:00,WAS,PHI,27,32,5,Lincoln Financial Field,Home,outdoors,grass,2019090806
8,2019_01_IND_LAC,2019,REG,1,2019-09-08,Sunday,16:05,IND,LAC,24,30,6,StubHub Center,Home,outdoors,grass,2019090807
9,2019_01_CIN_SEA,2019,REG,1,2019-09-08,Sunday,16:05,CIN,SEA,20,21,1,CenturyLink Field,Home,outdoors,fieldturf,2019090808
10,2019_01_DET_ARI,2019,REG,1,2019-09-08,Sunday,16:25,DET,ARI,27,27,0,State Farm Stadium,Home,closed,grass,2019090809
11,2019_01_NYG_DAL,2019,REG,1,2019-09-08,Sunday,16:25,NYG,DAL,17,35,18,AT&T Stadium,Home,closed,fieldturf,2019090810
12,2019_01_SF_TB,2019,REG,1,2019-09-08,Sunday,16:25,SF,TB,31,17,-14,Raymond James Stadium,Home,outdoors,grass,2019090811
13,2019_01_PIT_NE,2019,REG,1,2019-09-08,Sunday,20:20,PIT,NE,3,33,30,Gillette Stadium,Home,outdoors,grass,2019090812
